,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
0,Периодические ТО,ЧАС,Ежедневное ТО,ЕТ,"24,00",1-0000ЕТ,1-0000_strЕТ
1,Периодические ТО,ЧАС,Квартальное ТО,КТ,"2160,00",1-0000КТ,1-0000_strКТ
2,Периодические ТО,ЧАС,Сезонное ТО,СО,"4320,00",1-0000СО,1-0000_strСО
3,Периодические ТО,ЧАС,Годовое ТО,ГТ,"8640,00",1-0000ГТ,1-0000_strГТ
4,Периодические ТО,ЧАС,ТО раз в два года,Г2,"17280,00",1-0000Г2,1-0000_strГ2
5,АСПЗ ТО,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0001О1,1-0001_strО1
6,АСПЗ ТО,ЧАС,Техническое обслуживание 2,О2,"8640,00",1-0001О2,1-0001_strО2
7,АСПЗ ТО,ЧАС,Техническое обслуживание 3,О3,"43200,00",1-0001О3,1-0001_strО3
8,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0002О1,1-0002_strО1
9,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0002О2,1-0002_strО2
10,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0002О3,1-0002_strО3
11,ЧАС О148-О2240-О31008-КР6000,ЧАС,Капитальный ремонт,КР,"6000,00",1-0002КР,1-0002_strКР
12,ЧАС ТР1008,ЧАС,Текущий ремонт,ТР,"1008,00",1-0003ТР,1-0003_strТР
13,ЧАС ТР8640-КР69120,ЧАС,Текущий ремонт,ТР,"8640,00",1-0004ТР,1-0004_strТР
14,ЧАС ТР8640-КР69120,ЧАС,Капитальный ремонт,КР,"69120,00",1-0004КР,1-0004_strКР
15,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Техническое обслуживание 1,О1,"192,00",1-0005О1,1-0005_strО1
16,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Техническое обслуживание 2,О2,"600,00",1-0005О2,1-0005_strО2
17,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Текущий ремонт,ТР,"1200,00",1-0005ТР,1-0005_strТР
18,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Капитальный ремонт,КР,"12000,00",1-0005КР,1-0005_strКР
19,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 1,О1,"240,00",1-0006О1,1-0006_strО1
20,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 2,О2,"504,00",1-0006О2,1-0006_strО2
21,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0006О3,1-0006_strО3
22,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Капитальный ремонт,КР,"16008,00",1-0006КР,1-0006_strКР
23,ЧАС ТР720,ЧАС,Текущий ремонт,ТР,"720,00",1-0007ТР,1-0007_strТР
24,ЧАС ЗД16008,ЧАС,Замена двигателя,ЗД,"16008,00",1-0008ЗД,1-0008_strЗД
25,ЧАС ТР8640-КР77760,ЧАС,Текущий ремонт,ТР,"8640,00",1-0009ТР,1-0009_strТР
26,ЧАС ТР8640-КР77760,ЧАС,Капитальный ремонт,КР,"77760,00",1-0009КР,1-0009_strКР
27,ЧАС ТР8640-КР51840,ЧАС,Текущий ремонт,ТР,"8640,00",1-0010ТР,1-0010_strТР
28,ЧАС ТР8640-КР51840,ЧАС,Капитальный ремонт,КР,"51840,00",1-0010КР,1-0010_strКР
29,ЧАС ТО2160,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0011ТО,1-0011_strТО
30,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0012О1,1-0012_strО1
31,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0012О2,1-0012_strО2
32,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0012О3,1-0012_strО3
33,ЧАС О148-О2240-О31008-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0012КР,1-0012_strКР
34,ЧАС О148-О2240-КР4992,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0013О1,1-0013_strО1
35,ЧАС О148-О2240-КР4992,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0013О2,1-0013_strО2
36,ЧАС О148-О2240-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0013КР,1-0013_strКР
37,ЧАС ТО504-ТР1008-КР4992,ЧАС,Техническое обслуживание,ТО,"504,00",1-0014ТО,1-0014_strТО
38,ЧАС ТО504-ТР1008-КР4992,ЧАС,Текущий ремонт,ТР,"1008,00",1-0014ТР,1-0014_strТР
39,ЧАС ТО504-ТР1008-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0014КР,1-0014_strКР
40,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0015ТО,1-0015_strТО
41,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт,ТР,"4320,00",1-0015ТР,1-0015_strТР
42,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт 1,Т1,"8640,00",1-0015Т1,1-0015_strТ1
43,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт 2,Т2,"17280,00",1-0015Т2,1-0015_strТ2
44,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Капитальный ремонт,КР,"25920,00",1-0015КР,1-0015_strКР
45,ЧАС ТО720-ТР4320,ЧАС,Техническое обслуживание,ТО,"720,00",1-0016ТО,1-0016_strТО
46,ЧАС ТО720-ТР4320,ЧАС,Текущий ремонт,ТР,"4320,00",1-0016ТР,1-0016_strТР
47,ЧАС ТО720-ТР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0017ТО,1-0017_strТО
48,ЧАС ТО720-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0017ТР,1-0017_strТР
49,ЧАС ТО2160-ТР8640,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0018ТО,1-0018_strТО
50,ЧАС ТО2160-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0018ТР,1-0018_strТР
51,ЧАС ТО4320-ТР8640,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0019ТО,1-0019_strТО
52,ЧАС ТО4320-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0019ТР,1-0019_strТР
53,ЧАС ТО4320-ТР25920,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0020ТО,1-0020_strТО
54,ЧАС ТО4320-ТР25920,ЧАС,Текущий ремонт,ТР,"25920,00",1-0020ТР,1-0020_strТР
55,ЧАС ТО720,ЧАС,Техническое обслуживание,ТО,"720,00",1-0021ТО,1-0021_strТО
56,ЧАС ТО4320,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0022ТО,1-0022_strТО
57,ЧАС 572160,ЧАС,ТО подшипникового узла,57,"2160,00",1-002357,1-0023_str57
58,ЧАС ТР8640-Т117280,ЧАС,Текущий ремонт,ТР,"8640,00",1-0024ТР,1-0024_strТР
59,ЧАС ТР8640-Т117280,ЧАС,Текущий ремонт 1,Т1,"17280,00",1-0024Т1,1-0024_strТ1
60,ЧАС 572160-834320,ЧАС,ТО подшипникового узла,57,"2160,00",1-002557,1-0025_str57
61,ЧАС 572160-834320,ЧАС,ТР подшипникового узла,83,"4320,00",1-002583,1-0025_str83
62,ЧАС Т14320-Т28640,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0026Т1,1-0026_strТ1
63,ЧАС Т14320-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0026Т2,1-0026_strТ2
64,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 1,Т1,"1200,00",1-0027Т1,1-0027_strТ1
65,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 2,Т2,"3600,00",1-0027Т2,1-0027_strТ2
66,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 3,Т3,"7200,00",1-0027Т3,1-0027_strТ3
67,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 4,Т4,"14400,00",1-0027Т4,1-0027_strТ4
68,ЧАС О1720-О22160,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0028О1,1-0028_strО1
69,ЧАС О1720-О22160,ЧАС,Техническое обслуживание 2,О2,"2160,00",1-0028О2,1-0028_strО2
70,ЧАС 74720,ЧАС,ТР ковша,74,"720,00",1-002974,1-0029_str74
71,ЧАС ТО360-ТР8640,ЧАС,Техническое обслуживание,ТО,"360,00",1-0030ТО,1-0030_strТО
72,ЧАС ТО360-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0030ТР,1-0030_strТР
73,ЧАС 6717280,ЧАС,ТР вал-шестерни,67,"17280,00",1-003167,1-0031_str67
74,ЧАС 8134560,ЧАС,ТР промежуточного вала,81,"34560,00",1-003281,1-0032_str81
75,ЧАС ТО720-Т117280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0033ТО,1-0033_strТО
76,ЧАС ТО720-Т117280,ЧАС,Текущий ремонт 1,Т1,"17280,00",1-0033Т1,1-0033_strТ1
77,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 1,О1,"96,00",1-0034О1,1-0034_strО1
78,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 2,О2,"504,00",1-0034О2,1-0034_strО2
79,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0034О3,1-0034_strО3
80,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Текущий ремонт,ТР,"1008,00",1-0034ТР,1-0034_strТР
81,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Капитальный ремонт,КР,"6000,00",1-0034КР,1-0034_strКР
82,ЧАС О148-О2240-О31008-ТР1008-К,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0035О1,1-0035_strО1
83,ЧАС О148-О2240-О31008-ТР1008-К,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0035О2,1-0035_strО2
84,ЧАС О148-О2240-О31008-ТР1008-К,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0035О3,1-0035_strО3
85,ЧАС О148-О2240-О31008-ТР1008-К,ЧАС,Текущий ремонт,ТР,"1008,00",1-0035ТР,1-0035_strТР
86,ЧАС О148-О2240-О31008-ТР1008-К,ЧАС,Капитальный ремонт,КР,"6000,00",1-0035КР,1-0035_strКР
87,ЧАС ТО432-ТР4320-КР17280,ЧАС,Техническое обслуживание,ТО,"432,00",1-0036ТО,1-0036_strТО
88,ЧАС ТО432-ТР4320-КР17280,ЧАС,Текущий ремонт,ТР,"4320,00",1-0036ТР,1-0036_strТР
89,ЧАС ТО432-ТР4320-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0036КР,1-0036_strКР
90,ЧАС ТО504-ТР1992-КР19992,ЧАС,Техническое обслуживание,ТО,"504,00",1-0037ТО,1-0037_strТО
91,ЧАС ТО504-ТР1992-КР19992,ЧАС,Текущий ремонт,ТР,"1992,00",1-0037ТР,1-0037_strТР
92,ЧАС ТО504-ТР1992-КР19992,ЧАС,Капитальный ремонт,КР,"19992,00",1-0037КР,1-0037_strКР
93,ЧАС ТО504-ТР1992-КР25008,ЧАС,Техническое обслуживание,ТО,"504,00",1-0038ТО,1-0038_strТО
94,ЧАС ТО504-ТР1992-КР25008,ЧАС,Текущий ремонт,ТР,"1992,00",1-0038ТР,1-0038_strТР
95,ЧАС ТО504-ТР1992-КР25008,ЧАС,Капитальный ремонт,КР,"25008,00",1-0038КР,1-0038_strКР
96,ЧАС О22160,ЧАС,Техническое обслуживание 2,О2,"2160,00",1-0039О2,1-0039_strО2
97,ЧАС ТР8640-КР60120,ЧАС,Текущий ремонт,ТР,"8640,00",1-0040ТР,1-0040_strТР
98,ЧАС ТР8640-КР60120,ЧАС,Капитальный ремонт,КР,"60120,00",1-0040КР,1-0040_strКР
99,ЧАС Т17200-Т214400,ЧАС,Текущий ремонт 1,Т1,"7200,00",1-0041Т1,1-0041_strТ1
100,ЧАС Т17200-Т214400,ЧАС,Текущий ремонт 2,Т2,"14400,00",1-0041Т2,1-0041_strТ2
101,ЧАС ТО2160-Т14320-Т28640,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0042ТО,1-0042_strТО
102,ЧАС ТО2160-Т14320-Т28640,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0042Т1,1-0042_strТ1
103,ЧАС ТО2160-Т14320-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0042Т2,1-0042_strТ2
104,ЧАС ТО720-Т14320-Т28640-Т3,ЧАС,Техническое обслуживание,ТО,"720,00",1-0043ТО,1-0043_strТО
105,ЧАС ТО720-Т14320-Т28640-Т3,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0043Т1,1-0043_strТ1
106,ЧАС ТО720-Т14320-Т28640-Т3,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0043Т2,1-0043_strТ2
107,ЧАС ТО720-Т14320-Т28640-Т3,ЧАС,Текущий ремонт 3,Т3,"17280,00",1-0043Т3,1-0043_strТ3
108,ЧАС ТО1080-Т2160-Т4320-Т3-КР,ЧАС,Техническое обслуживание,ТО,"1080,00",1-0044ТО,1-0044_strТО
109,ЧАС ТО1080-Т2160-Т4320-Т3-КР,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0044Т1,1-0044_strТ1
110,ЧАС ТО1080-Т2160-Т4320-Т3-КР,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0044Т2,1-0044_strТ2
111,ЧАС ТО1080-Т2160-Т4320-Т3-КР,ЧАС,Текущий ремонт 3,Т3,"8640,00",1-0044Т3,1-0044_strТ3
112,ЧАС ТО1080-Т2160-Т4320-Т3-КР,ЧАС,Капитальный ремонт,КР,"17280,00",1-0044КР,1-0044_strКР
113,ЧАС Т11440-Т24320-Т3-КР17280,ЧАС,Текущий ремонт 1,Т1,"1440,00",1-0045Т1,1-0045_strТ1
114,ЧАС Т11440-Т24320-Т3-КР17280,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0045Т2,1-0045_strТ2
115,ЧАС Т11440-Т24320-Т3-КР17280,ЧАС,Текущий ремонт 3,Т3,"8640,00",1-0045Т3,1-0045_strТ3
116,ЧАС Т11440-Т24320-Т3-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0045КР,1-0045_strКР
117,ЧАС ТО6480-ТР12960,ЧАС,Техническое обслуживание,ТО,"6480,00",1-0046ТО,1-0046_strТО
118,ЧАС ТО6480-ТР12960,ЧАС,Текущий ремонт,ТР,"12960,00",1-0046ТР,1-0046_strТР
119,ЧАС 728640,ЧАС,ТР запорно-рег. арматуры,72,"8640,00",1-004772,1-0047_str72
120,ЧАС ТР2160,ЧАС,Текущий ремонт,ТР,"2160,00",1-0048ТР,1-0048_strТР
121,ЧАС ТР2160,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0048Т1,1-0048_strТ1
122,ЧАС ТР2160,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0048Т2,1-0048_strТ2
123,ЧАС ТР2160,ЧАС,Капитальный ремонт,КР,"17280,00",1-0048КР,1-0048_strКР
124,ЧАС ТР1440-4320-8640-17280,ЧАС,Текущий ремонт,ТР,"1440,00",1-0049ТР,1-0049_strТР
125,ЧАС ТР1440-4320-8640-17280,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0049Т1,1-0049_strТ1
126,ЧАС ТР1440-4320-8640-17280,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0049Т2,1-0049_strТ2
127,ЧАС ТР1440-4320-8640-17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0049КР,1-0049_strКР
128,ЧАС ТР4320,ЧАС,Текущий ремонт,ТР,"4320,00",1-0050ТР,1-0050_strТР
129,ЧАС ТО8640,ЧАС,Техническое обслуживание,ТО,"8640,00",1-0051ТО,1-0051_strТО
130,ЧАС ТО2160-ТР6000,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0052ТО,1-0052_strТО
131,ЧАС ТО2160-ТР6000,ЧАС,Текущий ремонт,ТР,"6000,00",1-0052ТР,1-0052_strТР
132,ЧАС ТО8640-ТР17280,ЧАС,Техническое обслуживание,ТО,"8640,00",1-0053ТО,1-0053_strТО
133,ЧАС ТО8640-ТР17280,ЧАС,Текущий ремонт,ТР,"17280,00",1-0053ТР,1-0053_strТР
134,ЧАС ТО4320-ТР17280,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0054ТО,1-0054_strТО
135,ЧАС ТО4320-ТР17280,ЧАС,Текущий ремонт,ТР,"17280,00",1-0054ТР,1-0054_strТР
136,ЧАС ТР3000,ЧАС,Текущий ремонт,ТР,"3000,00",1-0055ТР,1-0055_strТР
137,ЧАС ТО96,ЧАС,Техническое обслуживание,ТО,"96,00",1-0056ТО,1-0056_strТО
138,ЧАС ТР1992,ЧАС,Текущий ремонт,ТР,"1992,00",1-0057ТР,1-0057_strТР
139,ЧАС О1720-О22160-О34320-О48640,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0058О1,1-0058_strО1
140,ЧАС О1720-О22160-О34320-О48640,ЧАС,Техническое обслуживание 2,О2,"2160,00",1-0058О2,1-0058_strО2
141,ЧАС О1720-О22160-О34320-О48640,ЧАС,Техническое обслуживание 3,О3,"4320,00",1-0058О3,1-0058_strО3
142,ЧАС О1720-О22160-О34320-О48640,ЧАС,Техническое обслуживание 4,О4,"8640,00",1-0058О4,1-0058_strО4
143,ЧАС ТО4320-КР34560,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0059ТО,1-0059_strТО
144,ЧАС ТО4320-КР34560,ЧАС,Капитальный ремонт,КР,"34560,00",1-0059КР,1-0059_strКР
145,ЧАС О360-О22160-ТР8640-КР25920,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0060О1,1-0060_strО1
146,ЧАС О360-О22160-ТР8640-КР25920,ЧАС,Техническое обслуживание 2,О2,"2160,00",1-0060О2,1-0060_strО2
147,ЧАС О360-О22160-ТР8640-КР25920,ЧАС,Текущий ремонт,ТР,"8640,00",1-0060ТР,1-0060_strТР
148,ЧАС О360-О22160-ТР8640-КР25920,ЧАС,Капитальный ремонт,КР,"25920,00",1-0060КР,1-0060_strКР
149,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0061О1,1-0061_strО1
150,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0061О2,1-0061_strО2
151,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Техническое обслуживание 3,О3,"720,00",1-0061О3,1-0061_strО3
152,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0061Т1,1-0061_strТ1
153,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0061Т2,1-0061_strТ2
154,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 3,Т3,"8640,00",1-0061Т3,1-0061_strТ3
155,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 4,Т4,"8640,00",1-0061Т4,1-0061_strТ4
156,ЧАС О1-О2-О3-Т1-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 5,Т5,"8640,00",1-0061Т5,1-0061_strТ5
157,ЧАС 818640,ЧАС,ТР промежуточного вала,81,"8640,00",1-006281,1-0062_str81
158,ЧАС 764320,ЧАС,ТР маслостанции мельницы,76,"4320,00",1-006376,1-0063_str76
159,ЧАС 732160,ЧАС,ТР загрузочного устройства,73,"2160,00",1-006473,1-0064_str73
160,ЧАС 678640,ЧАС,ТР вал-шестерни,67,"8640,00",1-006567,1-0065_str67
161,ЧАС 63720,ЧАС,ТР бутары,63,"720,00",1-006663,1-0066_str63
162,ЧАС 844320,ЧАС,ТР футеровка,84,"4320,00",1-006784,1-0067_str84
163,ЧАС ТО720-О14320-Т4320-Т217280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0068ТО,1-0068_strТО
164,ЧАС ТО720-О14320-Т4320-Т217280,ЧАС,Техническое обслуживание 1,О1,"4320,00",1-0068О1,1-0068_strО1
165,ЧАС ТО720-О14320-Т4320-Т217280,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0068Т1,1-0068_strТ1
166,ЧАС ТО720-О14320-Т4320-Т217280,ЧАС,Текущий ремонт 2,Т2,"17280,00",1-0068Т2,1-0068_strТ2
167,ЧАС ТО720-Т18640-ТР8640-Т2-Т3,ЧАС,Техническое обслуживание,ТО,"720,00",1-0069ТО,1-0069_strТО
168,ЧАС ТО720-Т18640-ТР8640-Т2-Т3,ЧАС,Текущий ремонт 1,Т1,"8640,00",1-0069Т1,1-0069_strТ1
169,ЧАС ТО720-Т18640-ТР8640-Т2-Т3,ЧАС,Текущий ремонт,ТР,"8640,00",1-0069ТР,1-0069_strТР
170,ЧАС ТО720-Т18640-ТР8640-Т2-Т3,ЧАС,Текущий ремонт 2,Т2,"17280,00",1-0069Т2,1-0069_strТ2
171,ЧАС ТО720-Т18640-ТР8640-Т2-Т3,ЧАС,Текущий ремонт 3,Т3,"34560,00",1-0069Т3,1-0069_strТ3
172,ЧАС ТО8640-ТР25920,ЧАС,Техническое обслуживание,ТО,"8640,00",1-0070ТО,1-0070_strТО
173,ЧАС ТО8640-ТР25920,ЧАС,Текущий ремонт,ТР,"25920,00",1-0070ТР,1-0070_strТР
174,ЧАС Т18640-КР34560,ЧАС,Текущий ремонт 1,Т1,"8640,00",1-0071Т1,1-0071_strТ1
175,ЧАС Т18640-КР34560,ЧАС,Капитальный ремонт,КР,"34560,00",1-0071КР,1-0071_strКР
176,ЧАС ТО2160-ТР17280,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0072ТО,1-0072_strТО
177,ЧАС ТО2160-ТР17280,ЧАС,Текущий ремонт,ТР,"17280,00",1-0072ТР,1-0072_strТР
178,ЧАС ТО2880-ТР8640,ЧАС,Техническое обслуживание,ТО,"2880,00",1-0073ТО,1-0073_strТО
179,ЧАС ТО2880-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0073ТР,1-0073_strТР
180,ЧАС ТО1440-ТР2160-Т8640-Т17280,ЧАС,Техническое обслуживание,ТО,"1440,00",1-0074ТО,1-0074_strТО
181,ЧАС ТО1440-ТР2160-Т8640-Т17280,ЧАС,Текущий ремонт,ТР,"2160,00",1-0074ТР,1-0074_strТР
182,ЧАС ТО1440-ТР2160-Т8640-Т17280,ЧАС,Текущий ремонт 1,Т1,"8640,00",1-0074Т1,1-0074_strТ1
183,ЧАС ТО1440-ТР2160-Т8640-Т17280,ЧАС,Текущий ремонт 2,Т2,"17280,00",1-0074Т2,1-0074_strТ2
184,ЧАС ТР17280,ЧАС,Текущий ремонт,ТР,"17280,00",1-0075ТР,1-0075_strТР
185,ЧАС ТР2880,ЧАС,Текущий ремонт,ТР,"2880,00",1-0076ТР,1-0076_strТР
186,ЧАС ТО720-ТР8640-КР30240,ЧАС,Техническое обслуживание,ТО,"720,00",1-0077ТО,1-0077_strТО
187,ЧАС ТО720-ТР8640-КР30240,ЧАС,Текущий ремонт,ТР,"8640,00",1-0077ТР,1-0077_strТР
188,ЧАС ТО720-ТР8640-КР30240,ЧАС,Капитальный ремонт,КР,"30240,00",1-0077КР,1-0077_strКР
189,ЧАС ТО360-Тре-КРбу-КРпри-КРпол,ЧАС,Техническое обслуживание,ТО,"360,00",1-0078ТО,1-0078_strТО
190,ЧАС ТО360-Тре-КРбу-КРпри-КРпол,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0078Т1,1-0078_strТ1
191,ЧАС ТО360-Тре-КРбу-КРпри-КРпол,ЧАС,Капитальный ремонт,КР,"17280,00",1-0078КР,1-0078_strКР
192,ЧАС ТО360-Тре-КРбу-КРпри-КРпол,ЧАС,Капитальный ремонт 1,К1,"17280,00",1-0078К1,1-0078_strК1
193,ЧАС ТО360-Тре-КРбу-КРпри-КРпол,ЧАС,Капитальный ремонт 2,К2,"25920,00",1-0078К2,1-0078_strК2
194,ЧАС О1240-О2504-КР7992,ЧАС,Техническое обслуживание 1,О1,"240,00",1-0079О1,1-0079_strО1
195,ЧАС О1240-О2504-КР7992,ЧАС,Техническое обслуживание 2,О2,"504,00",1-0079О2,1-0079_strО2
196,ЧАС О1240-О2504-КР7992,ЧАС,Капитальный ремонт,КР,"7992,00",1-0079КР,1-0079_strКР
197,ЧАС ТР504,ЧАС,Текущий ремонт,ТР,"504,00",1-0080ТР,1-0080_strТР
198,ЧАС 1016008,ЧАС,КР двигателя,10,"16008,00",1-008110,1-0081_str10
199,ЧАС 258640,ЧАС,КР кузова,25,"8640,00",1-008225,1-0082_str25
200,ЧАС 71720,ЧАС,ТР дополнительных систем,71,"720,00",1-008371,1-0083_str71
201,ЧАС ЗЗ8640,ЧАС,Замена кузова,ЗЗ,"8640,00",1-0084ЗЗ,1-0084_strЗЗ
202,ЧАС ТЭ720,ЧАС,ТР электрических систем,ТЭ,"720,00",1-0085ТЭ,1-0085_strТЭ
203,ЧАС 75720,ЧАС,ТР компрессоров,75,"720,00",1-008675,1-0086_str75
204,КИП ТО,ЧАС,Техническое обслуживание 1,О1,"168,00",1-0087О1,1-0087_strО1
205,КИП ТО,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0087О2,1-0087_strО2
206,КИП ТО,ЧАС,Техническое обслуживание 3,О3,"2160,00",1-0087О3,1-0087_strО3
207,КИП ТО,ЧАС,Техническое обслуживание 4,О4,"4320,00",1-0087О4,1-0087_strО4
208,КИП ТО,ЧАС,Техническое обслуживание 5,О5,"8640,00",1-0087О5,1-0087_strО5
209,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,1O,"144,00",1-00901O,1-0090_str1O
210,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,2О,"144,00",1-00902О,1-0090_str2О
211,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,3О,"144,00",1-00903О,1-0090_str3О
212,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,4О,"144,00",1-00904О,1-0090_str4О
213,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,5О,"144,00",1-00905О,1-0090_str5О
214,"Обходы,осм 24ч",ЧАС,Ежедневный осмотр,6О,"144,00",1-00906О,1-0090_str6О
215,"Обходы,осм 48ч",ЧАС,Ежедневный осмотр,ОО,"48,00",1-0091ОО,1-0091_strОО
216,"Обходы,осм 72ч",ЧАС,Ежедневный осмотр,ОО,"72,00",1-0092ОО,1-0092_strОО
217,"Обходы,осм 120ч",ЧАС,Ежедневный осмотр,ОО,"120,00",1-0093ОО,1-0093_strОО
218,"Обходы,осм 96ч",ЧАС,Ежедневный осмотр,ОО,"96,00",1-0094ОО,1-0094_strОО
219,"Обходы,осм 144ч",ЧАС,Ежедневный осмотр,ОО,"144,00",1-0095ОО,1-0095_strОО
220,"Обходы,осм 720ч",ЧАС,Ежедневный осмотр,ОО,"720,00",1-0096ОО,1-0096_strОО
221,ЧАС ТО720-ТР2160,ЧАС,Техническое обслуживание,ТО,"720,00",1-0097ТО,1-0097_strТО
